DATE,DAY,IFVG_ENTRY,IFVG_FORMED,MAX_RR,B_S,W_L,MONTH,MONTH_NUM,TRADE_NO,PNL_PCT,RUNNING_BALANCE,CUMULATIVE_RETURN_PCT,SESSION_MATCH,WIN_NUM,TRADE_QUALITY,RISK_PCT,REWARD_PCT,OPTIMISED_BALANCE,OPTIMISED_RETURN_PCT
20-Jan,TUE,LN,LN,5.6,SELL,WIN,Jan,7,18,1.25,10560.23,5.6,True,1,BEST,0.5,2.5,10873.38,8.73
20-Jan,TUE,NY,PRE NY,0.0,SELL,LOSS,Jan,7,19,-0.25,10533.83,5.34,False,0,WORST,0.25,1.25,10873.38,8.73
21-Jan,WED,LN,LN,0.0,BUY,LOSS,Jan,7,20,-0.25,10507.5,5.08,True,0,BEST,0.5,2.5,10819.02,8.19
22-Jan,THU,NY,NY,0.0,SELL,LOSS,Jan,7,21,-0.25,10481.23,4.81,True,0,WORST,0.25,1.25,10819.02,8.19
23-Jan,FRI,LN,PRE LN,0.0,BUY,LOSS,Jan,7,22,-0.25,10455.02,4.55,False,0,WORST,0.25,1.25,10819.02,8.19
23-Jan,FRI,NY,NY,2.5,SELL,BE,Jan,7,23,0.0,10455.02,4.55,True,0,BEST,0.5,2.5,10819.02,8.19
26-Jan,MON,PRE NY,LN,0.0,BUY,LOSS,Jan,7,24,-0.25,10428.89,4.29,False,0,WORST,0.25,1.25,10819.02,8.19
26-Jan,MON,POST NY,NY,10.0,SELL,WIN,Jan,7,25,1.25,10559.25,5.59,False,1,BEST,0.5,2.5,11089.49,10.89
27-Jan,TUE,NY,NY,0.0,SELL,LOSS,Jan,7,26,-0.25,10532.85,5.33,True,0,WORST,0.25,1.25,11089.49,10.89
28-Jan,WED,NY,LN,0.0,BUY,LOSS,Jan,7,27,-0.25,10506.52,5.07,False,0,BEST,0.5,2.5,11034.04,10.34
29-Jan,THU,PRE NY,LN,7.6,BUY,WIN,Jan,7,28,1.25,10637.85,6.38,False,1,BEST,0.5,2.5,11309.9,13.1
30-Jan,FRI,LN,LN,10.7,SELL,WIN,Jan,7,29,1.25,10770.82,7.71,True,1,WORST,0.25,1.25,11309.9,13.1
01-Dec,MON,LN,LN,0.0,SELL,LOSS,Dec,6,30,-0.25,10743.9,7.44,True,0,BEST,0.5,2.5,11253.35,12.53
02-Dec,TUE,LN,PRE LN,9.0,SELL,WIN,Dec,6,31,1.25,10878.19,8.78,False,1,BEST,0.5,2.5,11534.68,15.35
02-Dec,TUE,NY,NY,0.0,SELL,LOSS,Dec,6,32,-0.25,10851.0,8.51,True,0,WORST,0.25,1.25,11534.68,15.35
03-Dec,WED,PRE LN,PRE LN,0.0,SELL,LOSS,Dec,6,33,-0.25,10823.87,8.24,True,0,WORST,0.25,1.25,11534.68,15.35
03-Dec,WED,NY,PRE NY,0.0,SELL,LOSS,Dec,6,34,-0.25,10796.81,7.97,False,0,BEST,0.5,2.5,11477.01,14.77
04-Dec,THU,PRE LN,PRE LN,10.0,BUY,WIN,Dec,6,35,1.25,10931.77,9.32,True,1,WORST,0.25,1.25,11477.01,14.77
04-Dec,THU,NY,NY,0.0,BUY,LOSS,Dec,6,36,-0.25,10904.44,9.04,True,0,WORST,0.25,1.25,11477.01,14.77
05-Dec,FRI,PRE LN,PRE LN,0.0,SELL,LOSS,Dec,6,37,-0.25,10877.18,8.77,True,0,WORST,0.25,1.25,11477.01,14.77
08-Dec,MON,LN,PRE LN,14.0,SELL,WIN,Dec,6,38,1.25,11013.15,10.13,False,1,BEST,0.5,2.5,11763.93,17.64
08-Dec,MON,NY,NY,0.0,BUY,LOSS,Dec,6,39,-0.25,10985.61,9.86,True,0,WORST,0.25,1.25,11763.93,17.64
09-Dec,TUE,NY,NY,0.0,BUY,LOSS,Dec,6,40,-0.25,10958.15,9.58,True,0,WORST,0.25,1.25,11763.93,17.64
10-Dec,WED,PRE LN,PRE LN,0.0,SELL,LOSS,Dec,6,41,-0.25,10930.75,9.31,True,0,WORST,0.25,1.25,11763.93,17.64
11-Dec,THU,PRE LN,PRE LN,0.0,SELL,LOSS,Dec,6,42,-0.25,10903.43,9.03,True,0,WORST,0.25,1.25,11763.93,17.64
11-Dec,THU,NY,NY,0.0,SELL,LOSS,Dec,6,43,-0.25,10876.17,8.76,True,0,WORST,0.25,1.25,11763.93,17.64
12-Dec,FRI,LN,LN,0.0,BUY,LOSS,Dec,6,44,-0.25,10848.98,8.49,True,0,WORST,0.25,1.25,11763.93,17.64
12-Dec,FRI,NY,NY,5.0,SELL,WIN,Dec,6,45,1.25,10984.59,9.85,True,1,BEST,0.5,2.5,12058.03,20.58
15-Dec,MON,LN,LN,16.0,BUY,WIN,Dec,6,46,1.25,11121.9,11.22,True,1,BEST,0.5,2.5,12359.48,23.59
15-Dec,MON,NY,PRE NY,0.0,SELL,LOSS,Dec,6,47,-0.25,11094.09,10.94,False,0,WORST,0.25,1.25,12359.48,23.59
16-Dec,TUE,PRE LN,PRE LN,11.0,BUY,WIN,Dec,6,48,1.25,11232.77,12.33,True,1,BEST,0.5,2.5,12668.47,26.68
16-Dec,TUE,PRE NY,PRE NY,0.0,SELL,LOSS,Dec,6,49,-0.25,11204.69,12.05,True,0,WORST,0.25,1.25,12668.47,26.68
17-Dec,WED,LN,LN,14.0,BUY,WIN,Dec,6,50,1.25,11344.74,13.45,True,1,BEST,0.5,2.5,12985.18,29.85
17-Dec,WED,NY,NY,0.0,SELL,LOSS,Dec,6,51,-0.25,11316.38,13.16,True,0,BEST,0.5,2.5,12920.25,29.2
18-Dec,THU,LN,LN,3.0,BUY,BE,Dec,6,52,0.0,11316.38,13.16,True,0,BEST,0.5,2.5,12920.25,29.2
18-Dec,THU,PRE NY,PRE NY,19.0,BUY,WIN,Dec,6,53,1.25,11457.84,14.58,True,1,BEST,0.5,2.5,13243.26,32.43
19-Dec,FRI,PRE LN,PRE LN,0.0,BUY,LOSS,Dec,6,54,-0.25,11429.19,14.29,True,0,WORST,0.25,1.25,13243.26,32.43
22-Dec,MON,LN,LN,0.0,SELL,LOSS,Dec,6,55,-0.25,11400.62,14.01,True,0,BEST,0.5,2.5,13177.04,31.77
22-Dec,MON,PRE NY,PRE NY,0.0,SELL,LOSS,Dec,6,56,-0.25,11372.12,13.72,True,0,WORST,0.25,1.25,13177.04,31.77
23-Dec,TUE,LN,LN,0.0,SELL,LOSS,Dec,6,57,-0.25,11343.69,13.44,True,0,BEST,0.5,2.5,13111.16,31.11
23-Dec,TUE,NY,NY,0.0,BUY,LOSS,Dec,6,58,-0.25,11315.33,13.15,True,0,WORST,0.25,1.25,13111.16,31.11
24-Dec,WED,NY,LN,0.0,BUY,LOSS,Dec,6,59,-0.25,11287.04,12.87,False,0,BEST,0.5,2.5,13045.6,30.46
24-Dec,WED,POST NY,NY,0.0,BUY,LOSS,Dec,6,60,-0.25,11258.82,12.59,False,0,WORST,0.25,1.25,13045.6,30.46
26-Dec,FRI,POST NY,POST-NY,0.0,BUY,LOSS,Dec,6,61,-0.25,11230.68,12.31,False,0,BEST,0.5,2.5,12980.37,29.8
29-Dec,MON,LN,LN,8.0,SELL,WIN,Dec,6,62,1.25,11371.06,13.71,True,1,BEST,0.5,2.5,13304.88,33.05
29-Dec,MON,POST NY,PRE NY,0.0,BUY,LOSS,Dec,6,63,-0.25,11342.63,13.43,False,0,BEST,0.5,2.5,13238.36,32.38
30-Dec,TUE,LN,LN,0.0,BUY,LOSS,Dec,6,64,-0.25,11314.28,13.14,True,0,BEST,0.5,2.5,13172.17,31.72
30-Dec,TUE,NY,NY,3.0,BUY,BE,Dec,6,65,0.0,11314.28,13.14,True,0,WORST,0.25,1.25,13172.17,31.72
31-Dec,WED,LN,PRE LN,0.0,BUY,LOSS,Dec,6,66,-0.25,11285.99,12.86,False,0,BEST,0.5,2.5,13106.31,31.06
31-Dec,WED,NY,PRE NY,14.0,SELL,WIN,Dec,6,67,1.25,11427.06,14.27,False,1,BEST,0.5,2.5,13433.96,34.34
03-Nov,MON,LN,PRE LN,14.0,SELL,WIN,Nov,5,68,1.25,11569.9,15.7,False,1,BEST,0.5,2.5,13769.81,37.7
03-Nov,MON,NY,NY,8.0,BUY,WIN,Nov,5,69,1.25,11714.53,17.15,True,1,WORST,0.25,1.25,13769.81,37.7
04-Nov,TUE,LN,PRE LN,18.0,SELL,WIN,Nov,5,70,1.25,11860.96,18.61,False,1,BEST,0.5,2.5,14114.06,41.14
04-Nov,TUE,NY,PRE NY,0.0,BUY,LOSS,Nov,5,71,-0.25,11831.31,18.31,False,0,WORST,0.25,1.25,14114.06,41.14
05-Nov,WED,LN,LN,4.5,BUY,BE,Nov,5,72,0.0,11831.31,18.31,True,0,BEST,0.5,2.5,14114.06,41.14
05-Nov,WED,NY,NY,12.6,BUY,WIN,Nov,5,73,1.25,11979.2,19.79,True,1,BEST,0.5,2.5,14466.91,44.67
06-Nov,THU,LN,LN,0.0,SELL,LOSS,Nov,5,74,-0.25,11949.25,19.49,True,0,BEST,0.5,2.5,14394.58,43.95
06-Nov,THU,NY,NY,2.5,SELL,BE,Nov,5,75,0.0,11949.25,19.49,True,0,WORST,0.25,1.25,14394.58,43.95
07-Nov,FRI,PRE LN,PRE LN,16.8,BUY,WIN,Nov,5,76,1.25,12098.61,20.99,True,1,WORST,0.25,1.25,14394.58,43.95
07-Nov,FRI,NY,PRE NY,0.0,SELL,LOSS,Nov,5,77,-0.25,12068.37,20.68,False,0,BEST,0.5,2.5,14322.6,43.23
10-Nov,MON,LN,PRE LN,0.0,SELL,LOSS,Nov,5,78,-0.25,12038.2,20.38,False,0,BEST,0.5,2.5,14250.99,42.51
11-Nov,TUE,LN,LN,0.0,SELL,LOSS,Nov,5,79,-0.25,12008.1,20.08,True,0,BEST,0.5,2.5,14179.73,41.8
11-Nov,TUE,NY,NY,9.8,SELL,WIN,Nov,5,80,1.25,12158.2,21.58,True,1,WORST,0.25,1.25,14179.73,41.8
12-Nov,WED,LN,PRE LN,7.6,SELL,WIN,Nov,5,81,1.25,12310.18,23.1,False,1,BEST,0.5,2.5,14534.23,45.34
13-Nov,THU,NY,LN,0.0,SELL,LOSS,Nov,5,82,-0.25,12279.41,22.79,False,0,WORST,0.25,1.25,14534.23,45.34
14-Nov,FRI,LN,LN,0.0,BUY,LOSS,Nov,5,83,-0.25,12248.71,22.49,True,0,WORST,0.25,1.25,14534.23,45.34
14-Nov,FRI,POST NY,NY,4.3,BUY,BE,Nov,5,84,0.0,12248.71,22.49,False,0,BEST,0.5,2.5,14534.23,45.34
17-Nov,MON,LN,PRE LN,4.7,BUY,BE,Nov,5,85,0.0,12248.71,22.49,False,0,BEST,0.5,2.5,14534.23,45.34
17-Nov,MON,NY,NY,0.0,BUY,LOSS,Nov,5,86,-0.25,12218.09,22.18,True,0,WORST,0.25,1.25,14534.23,45.34
18-Nov,TUE,LN,LN,10.0,BUY,WIN,Nov,5,87,1.25,12370.81,23.71,True,1,BEST,0.5,2.5,14897.58,48.98
19-Nov,WED,POST NY,NY,0.0,BUY,LOSS,Nov,5,88,-0.25,12339.88,23.4,False,0,WORST,0.25,1.25,14897.58,48.98
21-Nov,FRI,PRE LN,PRE LN,0.0,SELL,LOSS,Nov,5,89,-0.25,12309.03,23.09,True,0,WORST,0.25,1.25,14897.58,48.98
21-Nov,FRI,NY,NY,0.0,BUY,LOSS,Nov,5,90,-0.25,12278.26,22.78,True,0,BEST,0.5,2.5,14823.1,48.23
24-Nov,MON,LN,LN,0.0,SELL,LOSS,Nov,5,91,-0.25,12247.57,22.48,True,0,BEST,0.5,2.5,14748.98,47.49
25-Nov,TUE,LN,LN,0.0,SELL,LOSS,Nov,5,92,-0.25,12216.95,22.17,True,0,BEST,0.5,2.5,14675.24,46.75
25-Nov,TUE,POST NY,NY,0.0,SELL,LOSS,Nov,5,93,-0.25,12186.4,21.86,False,0,WORST,0.25,1.25,14675.24,46.75
26-Nov,WED,NY,NY,0.0,SELL,LOSS,Nov,5,94,-0.25,12155.94,21.56,True,0,BEST,0.5,2.5,14601.86,46.02
27-Nov,THU,LN,PRE LN,3.0,BUY,BE,Nov,5,95,0.0,12155.94,21.56,False,0,BEST,0.5,2.5,14601.86,46.02
27-Nov,THU,NY,NY,4.2,SELL,BE,Nov,5,96,0.0,12155.94,21.56,True,0,WORST,0.25,1.25,14601.86,46.02
28-Nov,FRI,LN,LN,19.8,BUY,WIN,Nov,5,97,1.25,12307.89,23.08,True,1,WORST,0.25,1.25,14601.86,46.02
28-Nov,FRI,NY,NY,0.0,SELL,LOSS,Nov,5,98,-0.25,12277.12,22.77,True,0,BEST,0.5,2.5,14528.85,45.29
01-Oct,WED,NY,LN,13.0,BUY,WIN,Oct,4,99,1.25,12430.58,24.31,False,1,BEST,0.5,2.5,14892.07,48.92
02-Oct,THU,PRE LN,PRE LN,0.0,SELL,LOSS,Oct,4,100,-0.25,12399.51,24.0,True,0,WORST,0.25,1.25,14892.07,48.92
03-Oct,FRI,LN,LN,4.5,SELL,BE,Oct,4,101,0.0,12399.51,24.0,True,0,WORST,0.25,1.25,14892.07,48.92
03-Oct,FRI,NY,NY,9.5,SELL,WIN,Oct,4,102,1.25,12554.5,25.54,True,1,BEST,0.5,2.5,15264.37,52.64
06-Oct,MON,PRE LN,PRE LN,0.0,BUY,LOSS,Oct,4,103,-0.25,12523.11,25.23,True,0,WORST,0.25,1.25,15264.37,52.64
07-Oct,TUE,LN,PRE LN,0.0,BUY,LOSS,Oct,4,104,-0.25,12491.81,24.92,False,0,BEST,0.5,2.5,15188.05,51.88
08-Oct,WED,LN,PRE LN,0.0,BUY,LOSS,Oct,4,105,-0.25,12460.58,24.61,False,0,BEST,0.5,2.5,15112.11,51.12
08-Oct,WED,POST NY,NY,15.0,BUY,WIN,Oct,4,106,1.25,12616.33,26.16,False,1,WORST,0.25,1.25,15112.11,51.12
09-Oct,THU,LN,LN,5.0,BUY,WIN,Oct,4,107,1.25,12774.04,27.74,True,1,BEST,0.5,2.5,15489.91,54.9
09-Oct,THU,NY,NY,0.0,BUY,LOSS,Oct,4,108,-0.25,12742.1,27.42,True,0,WORST,0.25,1.25,15489.91,54.9
10-Oct,FRI,PRE LN,PRE LN,9.0,BUY,WIN,Oct,4,109,1.25,12901.38,29.01,True,1,WORST,0.25,1.25,15489.91,54.9
10-Oct,FRI,POST NY,NY,7.0,SELL,WIN,Oct,4,110,1.25,13062.65,30.63,False,1,BEST,0.5,2.5,15877.16,58.77
13-Oct,MON,PRE LN,PRE LN,16.0,SELL,WIN,Oct,4,111,1.25,13225.93,32.26,True,1,WORST,0.25,1.25,15877.16,58.77
13-Oct,MON,PRE NY,PRE NY,0.0,BUY,LOSS,Oct,4,112,-0.25,13192.86,31.93,True,0,WORST,0.25,1.25,15877.16,58.77
14-Oct,TUE,LN,PRE LN,19.0,BUY,WIN,Oct,4,113,1.25,13357.77,33.58,False,1,BEST,0.5,2.5,16274.09,62.74
14-Oct,TUE,NY,NY,0.0,SELL,LOSS,Oct,4,114,-0.25,13324.38,33.24,True,0,WORST,0.25,1.25,16274.09,62.74
15-Oct,WED,PRE LN,PRE LN,0.0,SELL,LOSS,Oct,4,115,-0.25,13291.07,32.91,True,0,WORST,0.25,1.25,16274.09,62.74
16-Oct,THU,LN,LN,0.0,BUY,LOSS,Oct,4,116,-0.25,13257.84,32.58,True,0,BEST,0.5,2.5,16192.72,61.93
16-Oct,THU,NY,NY,0.0,SELL,LOSS,Oct,4,117,-0.25,13224.7,32.25,True,0,WORST,0.25,1.25,16192.72,61.93
17-Oct,FRI,LN,LN,0.0,BUY,LOSS,Oct,4,118,-0.25,13191.64,31.92,True,0,WORST,0.25,1.25,16192.72,61.93
17-Oct,FRI,NY,NY,5.0,BUY,WIN,Oct,4,119,1.25,13356.53,33.57,True,1,BEST,0.5,2.5,16597.54,65.98
20-Oct,MON,LN,LN,5.6,BUY,WIN,Oct,4,120,1.25,13523.49,35.23,True,1,BEST,0.5,2.5,17012.48,70.12
20-Oct,MON,POST NY,POST-NY,7.0,BUY,WIN,Oct,4,121,1.25,13692.53,36.93,False,1,BEST,0.5,2.5,17437.79,74.38
21-Oct,TUE,LN,LN,0.0,BUY,LOSS,Oct,4,122,-0.25,13658.3,36.58,True,0,BEST,0.5,2.5,17350.6,73.51
21-Oct,TUE,POST NY,NY,0.0,BUY,LOSS,Oct,4,123,-0.25,13624.15,36.24,False,0,WORST,0.25,1.25,17350.6,73.51
22-Oct,WED,LN,LN,0.0,BUY,LOSS,Oct,4,124,-0.25,13590.09,35.9,True,0,BEST,0.5,2.5,17263.85,72.64
23-Oct,THU,PRE NY,LN,10.0,BUY,WIN,Oct,4,125,1.25,13759.97,37.6,False,1,BEST,0.5,2.5,17695.44,76.95
23-Oct,THU,POST NY,NY,0.0,SELL,LOSS,Oct,4,126,-0.25,13725.57,37.26,False,0,WORST,0.25,1.25,17695.44,76.95
24-Oct,FRI,LN,LN,4.0,SELL,BE,Oct,4,127,0.0,13725.57,37.26,True,0,WORST,0.25,1.25,17695.44,76.95
28-Oct,TUE,LN,LN,0.0,BUY,LOSS,Oct,4,128,-0.25,13691.26,36.91,True,0,BEST,0.5,2.5,17606.97,76.07
28-Oct,TUE,NY,NY,0.0,SELL,LOSS,Oct,4,129,-0.25,13657.03,36.57,True,0,WORST,0.25,1.25,17606.97,76.07
29-Oct,WED,LN,PRE LN,3.0,BUY,BE,Oct,4,130,0.0,13657.03,36.57,False,0,BEST,0.5,2.5,17606.97,76.07
31-Oct,FRI,PRE LN,PRE LN,0.0,SELL,LOSS,Oct,4,131,-0.25,13622.89,36.23,True,0,WORST,0.25,1.25,17606.97,76.07
31-Oct,FRI,NY,NY,5.2,BUY,WIN,Oct,4,132,1.25,13793.17,37.93,True,1,BEST,0.5,2.5,18047.14,80.47
01-Sep,MON,LN,PRE LN,0.0,SELL,LOSS,Sep,3,133,-0.25,13758.69,37.59,False,0,BEST,0.5,2.5,17956.9,79.57
01-Sep,MON,NY,NY,0.0,BUY,LOSS,Sep,3,134,-0.25,13724.29,37.24,True,0,WORST,0.25,1.25,17956.9,79.57
02-Sep,TUE,LN,LN,6.0,BUY,WIN,Sep,3,135,1.25,13895.85,38.96,True,1,BEST,0.5,2.5,18405.83,84.06
03-Sep,WED,LN,LN,0.0,SELL,LOSS,Sep,3,136,-0.25,13861.11,38.61,True,0,BEST,0.5,2.5,18313.8,83.14
03-Sep,WED,POST NY,NY,8.0,SELL,WIN,Sep,3,137,1.25,14034.37,40.34,False,1,WORST,0.25,1.25,18313.8,83.14
04-Sep,THU,LN,PRE LN,0.0,BUY,LOSS,Sep,3,138,-0.25,13999.28,39.99,False,0,BEST,0.5,2.5,18222.23,82.22
04-Sep,THU,NY,PRE NY,13.0,BUY,WIN,Sep,3,139,1.25,14174.27,41.74,False,1,WORST,0.25,1.25,18222.23,82.22
05-Sep,FRI,LN,LN,0.0,SELL,LOSS,Sep,3,140,-0.25,14138.84,41.39,True,0,WORST,0.25,1.25,18222.23,82.22
08-Sep,MON,PRE LN,PRE LN,0.0,SELL,LOSS,Sep,3,141,-0.25,14103.49,41.03,True,0,WORST,0.25,1.25,18222.23,82.22
08-Sep,MON,NY,NY,6.0,SELL,WIN,Sep,3,142,1.25,14279.79,42.8,True,1,WORST,0.25,1.25,18222.23,82.22
09-Sep,TUE,PRE LN,PRE LN,0.0,BUY,LOSS,Sep,3,143,-0.25,14244.09,42.44,True,0,BEST,0.5,2.5,18131.12,81.31
09-Sep,TUE,NY,PRE NY,10.0,BUY,WIN,Sep,3,144,1.25,14422.14,44.22,False,1,WORST,0.25,1.25,18131.12,81.31
10-Sep,WED,PRE LN,PRE LN,8.0,SELL,WIN,Sep,3,145,1.25,14602.41,46.02,True,1,WORST,0.25,1.25,18131.12,81.31
11-Sep,THU,LN,LN,0.0,BUY,LOSS,Sep,3,146,-0.25,14565.91,45.66,True,0,BEST,0.5,2.5,18040.46,80.4
11-Sep,THU,NY,NY,0.0,SELL,LOSS,Sep,3,147,-0.25,14529.49,45.29,True,0,WORST,0.25,1.25,18040.46,80.4
12-Sep,FRI,NY,PRE NY,12.5,BUY,WIN,Sep,3,148,1.25,14711.11,47.11,False,1,BEST,0.5,2.5,18491.47,84.91
15-Sep,MON,LN,PRE LN,0.0,SELL,BE,Sep,3,149,0.0,14711.11,47.11,False,0,BEST,0.5,2.5,18491.47,84.91
15-Sep,MON,NY,NY,0.0,SELL,LOSS,Sep,3,150,-0.25,14674.33,46.74,True,0,WORST,0.25,1.25,18491.47,84.91
16-Sep,TUE,PRE LN,PRE LN,0.0,SELL,LOSS,Sep,3,151,-0.25,14637.65,46.38,True,0,BEST,0.5,2.5,18399.02,83.99
17-Sep,WED,LN,LN,27.0,BUY,WIN,Sep,3,152,1.25,14820.62,48.21,True,1,BEST,0.5,2.5,18858.99,88.59
17-Sep,WED,POST NY,NY,0.0,SELL,LOSS,Sep,3,153,-0.25,14783.57,47.84,False,0,WORST,0.25,1.25,18858.99,88.59
18-Sep,THU,LN,LN,0.0,SELL,LOSS,Sep,3,154,-0.25,14746.61,47.47,True,0,BEST,0.5,2.5,18764.7,87.65
19-Sep,FRI,LN,LN,0.0,BUY,LOSS,Sep,3,155,-0.25,14709.74,47.1,True,0,WORST,0.25,1.25,18764.7,87.65
19-Sep,FRI,POST NY,NY,0.0,BUY,LOSS,Sep,3,156,-0.25,14672.97,46.73,False,0,BEST,0.5,2.5,18670.87,86.71
22-Sep,MON,PRE LN,PRE LN,0.0,SELL,LOSS,Sep,3,157,-0.25,14636.29,46.36,True,0,WORST,0.25,1.25,18670.87,86.71
23-Sep,TUE,PRE LN,PRE LN,0.0,BUY,LOSS,Sep,3,158,-0.25,14599.69,46.0,True,0,BEST,0.5,2.5,18577.52,85.78
23-Sep,TUE,POST NY,POST-NY,0.0,SELL,BE,Sep,3,159,0.0,14599.69,46.0,False,0,WORST,0.25,1.25,18577.52,85.78
25-Sep,THU,LN,LN,5.5,BUY,WIN,Sep,3,160,1.25,14782.19,47.82,True,1,BEST,0.5,2.5,19041.96,90.42
26-Sep,FRI,NY,NY,0.0,SELL,LOSS,Sep,3,161,-0.25,14745.24,47.45,True,0,BEST,0.5,2.5,18946.75,89.47
29-Sep,MON,LN,LN,10.0,BUY,WIN,Sep,3,162,1.25,14929.55,49.3,True,1,BEST,0.5,2.5,19420.42,94.2
29-Sep,MON,NY,PRE NY,0.0,SELL,LOSS,Sep,3,163,-0.25,14892.23,48.92,False,0,WORST,0.25,1.25,19420.42,94.2
30-Sep,TUE,LN,PRE LN,0.0,SELL,LOSS,Sep,3,164,-0.25,14855.0,48.55,False,0,BEST,0.5,2.5,19323.31,93.23
30-Sep,TUE,NY,NY,0.0,BUY,BE,Sep,3,165,0.0,14855.0,48.55,True,0,WORST,0.25,1.25,19323.31,93.23
01-Aug,FRI,NY,NY,0.0,SELL,LOSS,Aug,2,166,-0.25,14817.86,48.18,True,0,BEST,0.5,2.5,19226.7,92.27
04-Aug,MON,NY,NY,8.0,SELL,WIN,Aug,2,167,1.25,15003.08,50.03,True,1,WORST,0.25,1.25,19226.7,92.27
05-Aug,TUE,LN,LN,0.0,BUY,LOSS,Aug,2,168,-0.25,14965.57,49.66,True,0,BEST,0.5,2.5,19130.56,91.31
05-Aug,TUE,NY,NY,0.0,SELL,LOSS,Aug,2,169,-0.25,14928.16,49.28,True,0,WORST,0.25,1.25,19130.56,91.31
06-Aug,WED,LN,PRE LN,0.0,SELL,LOSS,Aug,2,170,-0.25,14890.84,48.91,False,0,BEST,0.5,2.5,19034.91,90.35
06-Aug,WED,NY,NY,0.0,SELL,LOSS,Aug,2,171,-0.25,14853.61,48.54,True,0,BEST,0.5,2.5,18939.74,89.4
07-Aug,THU,NY,NY,0.0,BUY,LOSS,Aug,2,172,-0.25,14816.48,48.16,True,0,WORST,0.25,1.25,18939.74,89.4
08-Aug,FRI,LN,LN,0.0,BUY,LOSS,Aug,2,173,-0.25,14779.44,47.79,True,0,WORST,0.25,1.25,18939.74,89.4
08-Aug,FRI,POST NY,NY,9.0,SELL,WIN,Aug,2,174,1.25,14964.18,49.64,False,1,BEST,0.5,2.5,19413.23,94.13
11-Aug,MON,LN,LN,0.0,BUY,LOSS,Aug,2,175,-0.25,14926.77,49.27,True,0,BEST,0.5,2.5,19316.16,93.16
12-Aug,TUE,LN,LN,0.0,BUY,LOSS,Aug,2,176,-0.25,14889.45,48.89,True,0,BEST,0.5,2.5,19219.58,92.2
14-Aug,THU,PRE NY,LN,0.0,BUY,LOSS,Aug,2,177,-0.25,14852.23,48.52,False,0,BEST,0.5,2.5,19123.48,91.23
14-Aug,THU,NY,NY,0.0,BUY,LOSS,Aug,2,178,-0.25,14815.1,48.15,True,0,WORST,0.25,1.25,19123.48,91.23
